Player,Country,Runs,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
MD Shanaka,SL,108,88,12,3,122.72,2,India,Guwahati,10-01-2023
Ishan Kishan,IND,210,131,24,10,160.3,1,Bangladesh,Chattogram,10-12-2022
V Kohli,IND,113,91,11,2,124.17,1,Bangladesh,Chattogram,10-12-2022
M van Lingen,NAM,121,111,15,1,109.0,1,Nepal,Windhoek,07-12-2022
Mehidy Hasan Miraz,BAN,100,83,8,4,120.48,1,India,Mirpur,07-12-2022
Ibrahim Zadran,AFG,162,138,15,4,117.39,1,Sri Lanka,Pallekele,30-11-2022
Ibrahim Zadran,AFG,106,120,11,0,88.33,1,Sri Lanka,Pallekele,25-11-2022
TWM Latham,NZ,145,104,19,5,139.42,2,India,Auckland,25-11-2022
DA Warner,AUS,106,102,8,2,103.92,1,England,Melbourne,22-11-2022
TM Head,AUS,152,130,16,4,116.92,1,England,Melbourne,22-11-2022
DJ Malan,ENG,134,128,12,4,104.68,1,Australia,Adelaide,17-11-2022
SS Iyer,IND,113,111,15,0,101.8,2,South Africa,Ranchi,09-10-2022
M van Lingen,NAM,119,107,13,3,111.21,1,P.N.G.,Port Moresby,20-09-2022
SPD Smith,AUS,105,131,11,1,80.15,1,New Zealand,Cairns,11-09-2022
Shubman Gill,IND,130,97,15,1,134.02,1,Zimbabwe,Harare,22-08-2022
Sikandar Raza,ZIM,115,95,9,3,121.05,2,India,Harare,22-08-2022
KR Mayers,WI,105,110,12,3,95.45,1,New Zealand,Bridgetown,21-08-2022
CS MacLeod,SCOT,133,144,13,2,92.36,1,U.S.A.,Aberdeen,17-08-2022
Fakhar Zaman,PAK,109,109,12,1,100.0,1,Netherlands,Rotterdam,16-08-2022
Aaron Jones,USA,123,87,9,6,141.37,1,Scotland,Aberdeen,13-08-2022
CS MacLeod,SCOT,117,91,9,5,128.57,2,U.S.A.,Aberdeen,13-08-2022
Sikandar Raza,ZIM,117,127,8,4,92.12,2,Bangladesh,Harare,07-08-2022
RW Chakabva,ZIM,102,75,10,2,136.0,2,Bangladesh,Harare,07-08-2022
I Kaia,ZIM,110,122,11,2,90.16,2,Bangladesh,Harare,05-08-2022
Sikandar Raza,ZIM,135,109,8,6,123.85,2,Bangladesh,Harare,05-08-2022
MS Chapman,NZ,101,75,6,7,134.66,2,Scotland,Edinburgh,31-07-2022
SD Hope,WI,115,135,8,3,85.18,1,India,Port of Spain,24-07-2022
HE van der Dussen,SA,134,117,10,0,114.52,1,England,Chester-le-Street,19-07-2022
RR Pant,IND,125,113,16,2,110.61,2,England,Manchester,17-07-2022
MJ Guptill,NZ,115,126,15,2,91.26,1,Ireland,Dublin (Malahide),15-07-2022
PR Stirling,IRE,120,103,14,5,116.5,2,New Zealand,Dublin (Malahide),15-07-2022
HT Tector,IRE,108,106,7,5,101.88,2,New Zealand,Dublin (Malahide),15-07-2022
HT Tector,IRE,113,117,14,3,96.58,1,New Zealand,Dublin (Malahide),10-07-2022
MG Bracewell,NZ,127,82,10,7,154.87,2,Ireland,Dublin (Malahide),10-07-2022
JJ Roy,ENG,101,86,15,0,117.44,2,Netherlands,Amstelveen,22-06-2022
KIC Asalanka,SL,110,106,10,1,103.77,1,Australia,Colombo (RPS),21-06-2022
P Nissanka,SL,137,147,11,2,93.19,2,Australia,Colombo (RPS),19-06-2022
PD Salt,ENG,122,93,14,3,131.18,1,Netherlands,Amstelveen,17-06-2022
DJ Malan,ENG,125,109,9,3,114.67,1,Netherlands,Amstelveen,17-06-2022
JC Buttler,ENG,162,70,7,14,231.42,1,Netherlands,Amstelveen,17-06-2022
KH Prajapati,OMA,103,115,8,1,89.56,1,U.S.A.,Pearland,12-06-2022
SR Taylor,USA,114,123,11,3,92.68,2,Nepal,Pearland,11-06-2022
Zeeshan Maqsood,OMA,104,126,12,0,82.53,1,Nepal,Pearland,09-06-2022
SJ Modani,USA,111,133,9,0,83.45,1,Oman,Pearland,08-06-2022
MD Patel,USA,130,101,11,6,128.71,1,Oman,Pearland,08-06-2022
SD Hope,WI,127,134,15,1,94.77,1,Pakistan,Multan,08-06-2022
Babar Azam,PAK,103,107,9,0,96.26,2,West Indies,Multan,08-06-2022
Ibrahim Zadran,AFG,121,141,16,0,85.81,2,Zimbabwe,Harare,06-06-2022
V Aravind,UAE,102,108,13,0,94.44,2,U.S.A.,Pearland,04-06-2022
KR Mayers,WI,120,106,8,7,113.2,1,Netherlands,Amstelveen,04-06-2022
SSJ Brooks,WI,101,115,3,4,87.82,1,Netherlands,Amstelveen,04-06-2022
KJ Coetzer,SCOT,108,142,16,0,76.05,2,U.A.E.,Pearland,31-05-2022
SD Hope,WI,119,130,12,2,91.53,2,Netherlands,Amstelveen,31-05-2022
RD Berrington,SCOT,107,90,4,6,118.88,1,U.S.A.,Pearland,29-05-2022
Jatinder Singh,OMA,118,116,13,0,101.72,2,P.N.G.,Dubai (DSC),12-04-2022
RD Berrington,SCOT,114,127,10,2,89.76,1,P.N.G.,Dubai (DSC),09-04-2022
MJ Guptill,NZ,106,123,11,2,86.17,1,Netherlands,Hamilton,04-04-2022
WA Young,NZ,120,112,6,4,107.14,1,Netherlands,Hamilton,04-04-2022
TWM Latham,NZ,140,123,10,5,113.82,1,Netherlands,Hamilton,02-04-2022
Babar Azam,PAK,105,115,12,0,91.3,2,Australia,Lahore,02-04-2022
BR McDermott,AUS,104,108,10,4,96.29,1,Pakistan,Lahore,31-03-2022
Imam-ul-Haq,PAK,106,97,6,3,109.27,2,Australia,Lahore,31-03-2022
Babar Azam,PAK,114,83,11,1,137.34,2,Australia,Lahore,31-03-2022
TM Head,AUS,101,72,12,3,140.27,1,Pakistan,Lahore,29-03-2022
Imam-ul-Haq,PAK,103,96,6,3,107.29,2,Australia,Lahore,29-03-2022
WA Young,NZ,103,114,8,3,90.35,2,Netherlands,Mount Maunganui,29-03-2022
DS Airee,NEP,105,140,7,0,75.0,1,P.N.G.,Kirtipur,26-03-2022
RK Paudel,NEP,126,107,7,4,117.75,2,P.N.G.,Kirtipur,25-03-2022
Chirag Suri,UAE,103,118,10,1,87.28,1,Namibia,Sharjah,12-03-2022
V Aravind,UAE,115,76,14,2,151.31,1,Namibia,Sharjah,12-03-2022
Shoaib Khan,OMA,105,75,11,3,140.0,2,Namibia,Sharjah,11-03-2022
MG Erasmus,NAM,121,120,9,3,100.83,1,Oman,ICCA Dubai,06-03-2022
