Player,Country,Runs,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
Najibullah Zadran,AFG,104,98,5,5,106.12,1,Ireland,Dehradun,05-03-2019
A Balbirnie,IRE,145,136,8,8,106.61,2,Afghanistan,Dehradun,05-03-2019
F du Plessis,SA,112,114,15,1,98.24,2,Sri Lanka,Johannesburg,03-03-2019
EJG Morgan,ENG,103,88,8,6,117.04,1,West Indies,St George's,27-02-2019
JC Buttler,ENG,150,77,13,12,194.8,1,West Indies,St George's,27-02-2019
CH Gayle,WI,162,97,11,14,167.01,2,England,St George's,27-02-2019
SO Hetmyer,WI,104,83,7,4,125.3,1,England,Bridgetown,22-02-2019
CH Gayle,WI,135,129,3,12,104.65,1,England,Bridgetown,20-02-2019
JJ Roy,ENG,123,85,15,3,144.7,2,West Indies,Bridgetown,20-02-2019
JE Root,ENG,102,97,9,0,105.15,2,West Indies,Bridgetown,20-02-2019
Sabbir Rahman,BAN,102,110,12,2,92.72,2,New Zealand,Dunedin,20-02-2019
MJ Guptill,NZ,118,88,14,4,134.09,2,Bangladesh,Christchurch,16-02-2019
MJ Guptill,NZ,117,116,8,4,100.86,2,Bangladesh,Napier,13-02-2019
P Khadka,NEP,115,109,15,1,105.5,2,U.A.E.,ICCA Dubai,28-01-2019
Imam-ul-Haq,PAK,101,116,8,0,87.06,1,South Africa,Centurion,25-01-2019
HM Amla,SA,108,120,7,1,90.0,1,Pakistan,Gqeberha,19-01-2019
SE Marsh,AUS,131,123,11,3,106.5,1,India,Adelaide,15-01-2019
V Kohli,IND,104,112,5,2,92.85,2,Australia,Adelaide,15-01-2019
RG Sharma,IND,133,129,10,6,103.1,2,Australia,Sydney,12-01-2019
LRPL Taylor,NZ,137,131,9,4,104.58,1,Sri Lanka,Nelson,08-01-2019
HM Nicholls,NZ,124,80,12,3,155.0,1,Sri Lanka,Nelson,08-01-2019
NLTC Perera,SL,140,74,8,13,189.18,2,New Zealand,Mount Maunganui,05-01-2019
MJ Guptill,NZ,138,139,11,5,99.28,1,Sri Lanka,Mount Maunganui,03-01-2019
MDKJ Perera,SL,102,86,13,1,118.6,2,New Zealand,Mount Maunganui,03-01-2019
SD Hope,WI,108,131,9,1,82.44,1,Bangladesh,Sylhet,14-12-2018
SD Hope,WI,146,144,12,3,101.38,2,Bangladesh,Mirpur,11-12-2018
F du Plessis,SA,125,114,15,2,109.64,1,Australia,Hobart,11-11-2018
DA Miller,SA,139,108,13,4,128.7,1,Australia,Hobart,11-11-2018
SE Marsh,AUS,106,102,7,4,103.92,2,South Africa,Hobart,11-11-2018
AT Rayudu,IND,100,81,8,4,123.45,1,West Indies,Brabourne,29-10-2018
RG Sharma,IND,162,137,20,4,118.24,1,West Indies,Brabourne,29-10-2018
V Kohli,IND,107,119,10,1,89.91,2,West Indies,Pune,27-10-2018
SC Williams,ZIM,129,143,10,1,90.2,1,Bangladesh,Chattogram,26-10-2018
Imrul Kayes,BAN,115,112,10,2,102.67,2,Zimbabwe,Chattogram,26-10-2018
Soumya Sarkar,BAN,117,92,9,6,127.17,2,Zimbabwe,Chattogram,26-10-2018
V Kohli,IND,157,129,13,4,121.7,1,West Indies,Visakhapatnam,24-10-2018
SD Hope,WI,123,134,10,3,91.79,2,India,Visakhapatnam,24-10-2018
Imrul Kayes,BAN,144,140,13,6,102.85,1,Zimbabwe,Mirpur,21-10-2018
SO Hetmyer,WI,106,78,6,6,135.89,1,India,Guwahati,21-10-2018
RG Sharma,IND,152,117,15,8,129.91,2,West Indies,Guwahati,21-10-2018
V Kohli,IND,140,107,21,2,130.84,2,West Indies,Guwahati,21-10-2018
Litton Das,BAN,121,117,12,2,103.41,1,India,Dubai (DSC),28-09-2018
Mohammad Shahzad,AFG,124,116,11,7,106.89,1,India,Dubai (DSC),25-09-2018
RG Sharma,IND,111,119,7,4,93.27,2,Pakistan,Dubai (DSC),23-09-2018
S Dhawan,IND,114,100,16,2,114.0,2,Pakistan,Dubai (DSC),23-09-2018
S Dhawan,IND,127,120,15,2,105.83,1,Hong Kong,Dubai (DSC),18-09-2018
Mushfiqur Rahim,BAN,144,150,11,4,96.0,1,Sri Lanka,Dubai (DSC),15-09-2018
RR Hendricks,SA,102,89,8,1,114.6,1,Sri Lanka,Pallekele,05-08-2018
Tamim Iqbal,BAN,103,124,7,2,83.06,1,West Indies,Basseterre,28-07-2018
SO Hetmyer,WI,125,93,3,7,134.4,1,Bangladesh,Providence,25-07-2018
Tamim Iqbal,BAN,130,160,10,3,81.25,1,West Indies,Providence,22-07-2018
Imam-ul-Haq,PAK,110,105,8,1,104.76,1,Zimbabwe,Bulawayo,22-07-2018
Babar Azam,PAK,106,76,9,2,139.47,1,Zimbabwe,Bulawayo,22-07-2018
Imam-ul-Haq,PAK,113,122,8,0,92.62,1,Zimbabwe,Bulawayo,20-07-2018
Fakhar Zaman,PAK,210,156,24,5,134.61,1,Zimbabwe,Bulawayo,20-07-2018
JE Root,ENG,100,120,10,0,83.33,2,India,Leeds,17-07-2018
Fakhar Zaman,PAK,117,129,16,0,90.69,2,Zimbabwe,Bulawayo,16-07-2018
JE Root,ENG,113,116,8,1,97.41,1,India,Lord's,14-07-2018
Imam-ul-Haq,PAK,128,134,11,0,95.52,1,Zimbabwe,Bulawayo,13-07-2018
RG Sharma,IND,137,114,15,4,120.17,2,England,Nottingham,12-07-2018
JC Buttler,ENG,110,122,12,1,90.16,2,Australia,Manchester,24-06-2018
AJ Finch,AUS,100,106,6,3,94.33,1,England,Chester-le-Street,21-06-2018
SE Marsh,AUS,101,92,5,4,109.78,1,England,Chester-le-Street,21-06-2018
JJ Roy,ENG,101,83,12,2,121.68,2,Australia,Chester-le-Street,21-06-2018
JM Bairstow,ENG,139,92,15,5,151.08,1,Australia,Nottingham,19-06-2018
AD Hales,ENG,147,92,16,5,159.78,1,Australia,Nottingham,19-06-2018
JJ Roy,ENG,120,108,12,2,111.11,1,Australia,Cardiff,16-06-2018
SE Marsh,AUS,131,116,10,3,112.93,2,England,Cardiff,16-06-2018
CS MacLeod,SCOT,140,94,16,3,148.93,1,England,Edinburgh,10-06-2018
JM Bairstow,ENG,105,59,12,6,177.96,2,Scotland,Edinburgh,10-06-2018
BRM Taylor,ZIM,138,124,20,2,111.29,1,West Indies,Harare,19-03-2018
A Balbirnie,IRE,105,146,10,0,71.91,1,Scotland,Harare,18-03-2018
MH Cross,SCOT,114,135,5,4,84.44,1,U.A.E.,Bulawayo,15-03-2018
PR Stirling,IRE,126,117,15,5,107.69,1,U.A.E.,Harare,12-03-2018
R Powell,WI,101,100,7,7,101.0,1,Ireland,Harare,10-03-2018
JM Bairstow,ENG,104,60,9,6,173.33,2,New Zealand,Christchurch,10-03-2018
JM Bairstow,ENG,138,106,14,7,130.18,1,New Zealand,Dunedin,07-03-2018
JE Root,ENG,102,101,6,2,100.99,1,New Zealand,Dunedin,07-03-2018
LRPL Taylor,NZ,181,147,17,6,123.12,2,England,Dunedin,07-03-2018
CH Gayle,WI,123,91,7,11,135.16,1,U.A.E.,Harare,06-03-2018
WTS Porterfield,IRE,111,133,12,0,83.45,2,P.N.G.,Harare,06-03-2018
Rameez Shahzad,UAE,112,107,9,4,104.67,2,West Indies,Harare,06-03-2018
TP Ura,PNG,151,142,10,6,106.33,1,Ireland,Harare,06-03-2018
SO Hetmyer,WI,127,93,14,4,136.55,1,U.A.E.,Harare,06-03-2018
CS MacLeod,SCOT,157,146,23,1,107.53,2,Afghanistan,Bulawayo,04-03-2018
KS Williamson,NZ,112,143,6,2,78.32,2,England,Wellington,03-03-2018
LRPL Taylor,NZ,113,116,12,0,97.41,2,England,Hamilton,25-02-2018
V Kohli,IND,129,96,19,2,134.37,2,South Africa,Centurion,16-02-2018
RG Sharma,IND,115,126,11,4,91.26,1,South Africa,Gqeberha,13-02-2018
BRM Taylor,ZIM,125,121,5,8,103.3,1,Afghanistan,Sharjah,11-02-2018
S Dhawan,IND,109,105,10,2,103.8,1,South Africa,Johannesburg,10-02-2018
Rahmat Shah,AFG,114,110,8,4,103.63,1,Zimbabwe,Sharjah,09-02-2018
V Kohli,IND,160,159,12,2,100.62,1,South Africa,Cape Town,07-02-2018
F du Plessis,SA,120,112,11,2,107.14,1,India,Durban,01-02-2018
V Kohli,IND,112,119,10,0,94.11,2,South Africa,Durban,01-02-2018
Rameez Shahzad,UAE,121,115,10,2,105.21,2,Scotland,ICCA Dubai,23-01-2018
MH Cross,SCOT,107,110,10,2,97.27,1,U.A.E.,ICCA Dubai,21-01-2018
JC Buttler,ENG,100,83,6,4,120.48,1,Australia,Sydney,21-01-2018
AJ Finch,AUS,106,114,9,1,92.98,1,England,Brisbane,19-01-2018
MJ Guptill,NZ,100,126,10,1,79.36,1,Pakistan,Wellington,19-01-2018
AJ Finch,AUS,107,119,10,3,89.91,1,England,Melbourne,14-01-2018
JJ Roy,ENG,180,151,16,5,119.2,2,Australia,Melbourne,14-01-2018
WTS Porterfield,IRE,139,147,15,2,94.55,1,U.A.E.,ICCA Dubai,13-01-2018
A Balbirnie,IRE,102,109,12,1,93.57,1,U.A.E.,ICCA Dubai,13-01-2018
EC Joyce,IRE,116,149,13,1,77.85,2,U.A.E.,ICCA Dubai,11-01-2018
KS Williamson,NZ,115,117,8,1,98.29,1,Pakistan,Wellington,06-01-2018
S Dhawan,IND,100,85,13,2,117.64,2,Sri Lanka,Visakhapatnam,17-12-2017
RG Sharma,IND,208,153,13,12,135.94,1,Sri Lanka,Mohali,13-12-2017
AD Mathews,SL,111,132,9,3,84.09,2,India,Mohali,13-12-2017
PR Stirling,IRE,101,97,11,4,104.12,2,Afghanistan,Sharjah,10-12-2017
Anshuman Rath,HKG,143,137,9,3,104.37,1,P.N.G.,ICCA Dubai,08-12-2017
V Kohli,IND,113,106,9,1,106.6,1,New Zealand,Kanpur,29-10-2017
RG Sharma,IND,147,138,18,2,106.52,1,New Zealand,Kanpur,29-10-2017
V Kohli,IND,121,125,9,2,96.8,1,New Zealand,Wankhede,22-10-2017
TWM Latham,NZ,103,102,8,2,100.98,2,India,Wankhede,22-10-2017
Imam-ul-Haq,PAK,100,125,5,2,80.0,2,Sri Lanka,Abu Dhabi,18-10-2017
AB de Villiers,SA,176,104,15,7,169.23,1,Bangladesh,Paarl,18-10-2017
Babar Azam,PAK,101,133,6,0,75.93,1,Sri Lanka,Abu Dhabi,16-10-2017
WU Tharanga,SL,112,144,14,0,77.77,2,Pakistan,Abu Dhabi,16-10-2017
HM Amla,SA,110,112,8,0,98.21,2,Bangladesh,Kimberley,15-10-2017
Q de Kock,SA,168,145,21,2,115.86,2,Bangladesh,Kimberley,15-10-2017
Mushfiqur Rahim,BAN,110,116,11,2,94.82,1,South Africa,Kimberley,15-10-2017
Babar Azam,PAK,103,131,5,0,78.62,1,Sri Lanka,Dubai (DSC),13-10-2017
CS MacLeod,SCOT,154,163,15,3,94.47,1,P.N.G.,Port Moresby,06-10-2017
RG Sharma,IND,125,109,11,5,114.67,2,Australia,Nagpur,01-10-2017
JM Bairstow,ENG,141,114,17,0,123.68,2,West Indies,Southampton,29-09-2017
DA Warner,AUS,124,119,12,4,104.2,1,India,Bengaluru,28-09-2017
E Lewis,WI,176,130,17,7,135.38,1,England,The Oval,27-09-2017
AJ Finch,AUS,124,125,12,5,99.2,1,India,Indore,24-09-2017
MM Ali,ENG,102,57,7,8,178.94,1,West Indies,Bristol,24-09-2017
JM Bairstow,ENG,100,97,11,0,103.09,2,West Indies,Manchester,19-09-2017
V Kohli,IND,110,116,9,0,94.82,2,Sri Lanka,Colombo (RPS),03-09-2017
RG Sharma,IND,104,88,11,3,118.18,1,Sri Lanka,Colombo (RPS),31-08-2017
V Kohli,IND,131,96,17,2,136.45,1,Sri Lanka,Colombo (RPS),31-08-2017
RG Sharma,IND,124,145,16,2,85.51,2,Sri Lanka,Pallekele,27-08-2017
S Dhawan,IND,132,90,20,3,146.66,2,Sri Lanka,Dambulla,20-08-2017
N Dickwella,SL,116,118,8,0,98.3,1,Zimbabwe,Hambantota,08-07-2017
V Kohli,IND,111,115,12,2,96.52,2,West Indies,Kingston,06-07-2017
H Masakadza,ZIM,111,98,15,1,113.26,1,Sri Lanka,Hambantota,06-07-2017
N Dickwella,SL,102,116,14,0,87.93,2,Zimbabwe,Hambantota,06-07-2017
MD Gunathilaka,SL,116,111,15,1,104.5,2,Zimbabwe,Hambantota,06-07-2017
SF Mire,ZIM,112,96,14,0,116.66,2,Sri Lanka,Galle,30-06-2017
AM Rahane,IND,103,104,10,2,99.03,1,West Indies,Port of Spain,25-06-2017
Fakhar Zaman,PAK,114,106,12,3,107.54,1,India,The Oval,18-06-2017
RG Sharma,IND,123,129,15,1,95.34,2,Bangladesh,Birmingham,15-06-2017
KJ Coetzer,SCOT,109,101,13,2,107.92,1,Zimbabwe,Edinburgh,15-06-2017
BA Stokes,ENG,102,109,13,2,93.57,2,Australia,Birmingham,10-06-2017
Shakib Al Hasan,BAN,114,115,11,1,99.13,2,New Zealand,Cardiff,09-06-2017
Mahmudullah,BAN,102,107,8,2,95.32,2,New Zealand,Cardiff,09-06-2017
S Dhawan,IND,125,128,15,1,97.65,1,Sri Lanka,The Oval,08-06-2017
HM Amla,SA,103,115,5,2,89.56,1,Sri Lanka,The Oval,03-06-2017
KS Williamson,NZ,100,97,8,3,103.09,1,Australia,Birmingham,02-06-2017
Tamim Iqbal,BAN,128,142,12,3,90.14,1,England,The Oval,01-06-2017
JE Root,ENG,133,129,11,1,103.1,2,Bangladesh,The Oval,01-06-2017
BA Stokes,ENG,101,79,11,3,127.84,1,South Africa,Southampton,27-05-2017
EJG Morgan,ENG,107,93,7,5,115.05,1,South Africa,Leeds,24-05-2017
TWM Latham,NZ,104,111,9,4,93.69,1,Ireland,Dublin (Malahide),21-05-2017
NJ O'Brien,IRE,109,131,9,5,83.2,2,New Zealand,Dublin (Malahide),14-05-2017
Shoaib Malik,PAK,101,111,10,2,90.99,2,West Indies,Providence,11-04-2017
Babar Azam,PAK,125,132,7,3,94.69,1,West Indies,Providence,09-04-2017
Rohan Mustafa,UAE,109,125,7,1,87.2,1,P.N.G.,Abu Dhabi,04-04-2017
BKG Mendis,SL,102,107,9,1,95.32,1,Bangladesh,Dambulla,28-03-2017
Tamim Iqbal,BAN,127,142,15,1,89.43,1,Sri Lanka,Dambulla,25-03-2017
Rahmat Shah,AFG,108,128,10,1,84.37,2,Ireland,Greater Noida,24-03-2017
Asghar Afghan,AFG,101,90,6,6,112.22,1,Ireland,Greater Noida,17-03-2017
WTS Porterfield,IRE,119,98,18,0,121.42,2,Afghanistan,Greater Noida,15-03-2017
AD Hales,ENG,110,107,9,5,102.8,1,West Indies,Bridgetown,09-03-2017
JE Root,ENG,101,108,10,0,93.51,1,West Indies,Bridgetown,09-03-2017
EJG Morgan,ENG,107,116,11,2,92.24,1,West Indies,North Sound,03-03-2017
WTS Porterfield,IRE,100,116,8,1,86.2,1,U.A.E.,ICCA Dubai,02-03-2017
MJ Guptill,NZ,180,138,15,11,130.43,2,South Africa,Hamilton,01-03-2017
LRPL Taylor,NZ,102,110,8,0,92.72,1,South Africa,Christchurch,22-02-2017
Q de Kock,SA,109,87,16,0,125.28,1,Sri Lanka,Centurion,10-02-2017
HM Amla,SA,154,134,15,5,114.92,1,Sri Lanka,Centurion,10-02-2017
DAS Gunaratne,SL,114,117,14,2,97.43,2,South Africa,Centurion,10-02-2017
WU Tharanga,SL,119,90,11,7,132.22,2,South Africa,Cape Town,07-02-2017
F du Plessis,SA,185,141,16,3,131.2,1,Sri Lanka,Cape Town,07-02-2017
LRPL Taylor,NZ,107,101,13,0,105.94,1,Australia,Hamilton,05-02-2017
F du Plessis,SA,105,120,7,1,87.5,1,Sri Lanka,Durban,01-02-2017
DA Miller,SA,117,98,3,6,119.38,1,Sri Lanka,Durban,01-02-2017
MP Stoinis,AUS,146,117,9,11,124.78,2,New Zealand,Auckland,30-01-2017
DA Warner,AUS,179,128,19,5,139.84,1,Pakistan,Adelaide,26-01-2017
TM Head,AUS,128,137,9,3,93.43,1,Pakistan,Adelaide,26-01-2017
Babar Azam,PAK,100,109,7,1,91.74,2,Australia,Adelaide,26-01-2017
DA Warner,AUS,130,119,11,2,109.24,1,Pakistan,Sydney,22-01-2017
Yuvraj Singh,IND,150,127,21,3,118.11,1,England,Cuttack,19-01-2017
MS Dhoni,IND,134,122,10,6,109.83,1,England,Cuttack,19-01-2017
EJG Morgan,ENG,102,81,6,5,125.92,2,India,Cuttack,19-01-2017
SPD Smith,AUS,108,104,11,1,103.84,2,Pakistan,Perth,19-01-2017
V Kohli,IND,122,105,8,5,116.19,2,England,Pune,15-01-2017
KM Jadhav,IND,120,76,12,4,157.89,2,England,Pune,15-01-2017
MS Wade,AUS,100,100,7,2,100.0,1,Pakistan,Brisbane,13-01-2017
NT Broom,NZ,109,107,8,3,101.86,1,Bangladesh,Nelson,29-12-2016
TWM Latham,NZ,137,121,7,4,113.22,1,Bangladesh,Christchurch,26-12-2016
DA Warner,AUS,156,128,13,4,121.87,1,New Zealand,Melbourne,09-12-2016
DA Warner,AUS,119,115,14,1,103.47,1,New Zealand,Canberra,06-12-2016
SPD Smith,AUS,164,157,14,4,104.45,1,New Zealand,Sydney,04-12-2016
MJ Guptill,NZ,114,102,10,6,111.76,2,Australia,Sydney,04-12-2016
E Lewis,WI,148,122,15,4,121.31,2,Sri Lanka,Bulawayo,23-11-2016
SD Hope,WI,101,120,4,4,84.16,2,Zimbabwe,Bulawayo,19-11-2016
V Kohli,IND,154,134,16,1,114.92,2,New Zealand,Mohali,23-10-2016
KS Williamson,NZ,118,128,14,1,92.18,1,India,Delhi,20-10-2016
RR Rossouw,SA,122,118,14,2,103.38,1,Australia,Cape Town,12-10-2016
DA Warner,AUS,173,136,24,0,127.2,2,South Africa,Cape Town,12-10-2016
BA Stokes,ENG,101,100,8,4,101.0,1,Bangladesh,Mirpur,07-10-2016
Imrul Kayes,BAN,112,119,11,2,94.11,2,England,Mirpur,07-10-2016
Babar Azam,PAK,117,106,8,1,110.37,1,West Indies,Abu Dhabi,05-10-2016
Azhar Ali,PAK,101,109,8,1,92.66,1,West Indies,Abu Dhabi,05-10-2016
DA Miller,SA,118,79,10,6,149.36,2,Australia,Durban,05-10-2016
SPD Smith,AUS,108,107,9,1,100.93,1,South Africa,Durban,05-10-2016
DA Warner,AUS,117,107,13,2,109.34,1,South Africa,Durban,05-10-2016
Babar Azam,PAK,123,126,9,1,97.61,1,West Indies,Sharjah,02-10-2016
F du Plessis,SA,111,93,13,0,119.35,1,Australia,Johannesburg,02-10-2016
Tamim Iqbal,BAN,118,118,11,2,100.0,1,Afghanistan,Mirpur,01-10-2016
Q de Kock,SA,178,113,16,11,157.52,2,Australia,Centurion,30-09-2016
Babar Azam,PAK,120,131,8,3,91.6,1,West Indies,Sharjah,30-09-2016
T Bavuma,SA,113,123,13,1,91.86,1,Ireland,Benoni,25-09-2016
CS MacLeod,SCOT,102,107,8,1,95.32,1,Hong Kong,Edinburgh,10-09-2016
DA Warner,AUS,106,126,9,0,84.12,2,Sri Lanka,Pallekele,04-09-2016
AD Hales,ENG,171,122,22,4,140.16,1,Pakistan,Nottingham,30-08-2016
LD Chandimal,SL,102,130,7,0,78.46,1,Australia,Dambulla,28-08-2016
Sarfaraz Ahmed,PAK,105,130,6,0,80.76,1,England,Lord's,27-08-2016
Sharjeel Khan,PAK,152,86,16,9,176.74,1,Ireland,Dublin (Malahide),18-08-2016
CS MacLeod,SCOT,103,122,6,3,84.42,2,U.A.E.,Edinburgh,16-08-2016
PL Mommsen,SCOT,111,101,9,0,109.9,1,U.A.E.,Edinburgh,14-08-2016
KJ Coetzer,SCOT,127,121,14,1,104.95,1,U.A.E.,Edinburgh,14-08-2016
EC Joyce,IRE,160,148,19,3,108.1,1,Afghanistan,Belfast,19-07-2016
EC Joyce,IRE,105,135,8,1,77.77,2,Afghanistan,Belfast,14-07-2016
Rahmat Shah,AFG,100,123,8,1,81.3,1,Scotland,Edinburgh,04-07-2016
JJ Roy,ENG,162,118,13,3,137.28,2,Sri Lanka,The Oval,29-06-2016
DM Bravo,WI,102,103,12,4,99.02,1,South Africa,Bridgetown,24-06-2016
JJ Roy,ENG,112,95,7,4,117.89,2,Sri Lanka,Birmingham,24-06-2016
AD Hales,ENG,133,110,10,6,120.9,2,Sri Lanka,Birmingham,24-06-2016
MN Samuels,WI,125,134,14,2,93.28,1,Australia,Bridgetown,21-06-2016
MDKJ Perera,SL,135,128,16,2,105.46,1,Ireland,Dublin (Malahide),18-06-2016
LD Chandimal,SL,100,107,6,0,93.45,1,Ireland,Dublin (Malahide),16-06-2016
HM Amla,SA,110,99,13,0,111.11,1,West Indies,Basseterre,15-06-2016
DA Warner,AUS,109,120,11,2,90.83,1,South Africa,Basseterre,11-06-2016
KL Rahul,IND,100,115,7,1,86.95,2,Zimbabwe,Harare,11-06-2016
AB de Villiers,SA,101,97,11,1,104.12,2,England,Cape Town,14-02-2016
AD Hales,ENG,112,128,14,0,87.5,1,South Africa,Cape Town,14-02-2016
JE Root,ENG,109,124,10,1,87.9,1,South Africa,Johannesburg,12-02-2016
JE Root,ENG,125,113,10,5,110.61,1,South Africa,Centurion,09-02-2016
Q de Kock,SA,135,117,16,4,115.38,2,England,Centurion,09-02-2016
HM Amla,SA,127,130,13,2,97.69,2,England,Centurion,09-02-2016
JC Buttler,ENG,105,76,11,5,138.15,1,South Africa,Bloemfontein,03-02-2016
Q de Kock,SA,138,96,12,6,143.75,2,England,Bloemfontein,03-02-2016
DA Warner,AUS,122,113,9,3,107.96,1,India,Sydney,23-01-2016
MR Marsh,AUS,102,84,9,2,121.42,1,India,Sydney,23-01-2016
MK Pandey,IND,104,81,8,1,128.39,2,Australia,Sydney,23-01-2016
AJ Finch,AUS,107,107,9,2,100.0,1,India,Canberra,20-01-2016
S Dhawan,IND,126,113,14,2,111.5,2,Australia,Canberra,20-01-2016
V Kohli,IND,106,92,11,1,115.21,2,Australia,Canberra,20-01-2016
V Kohli,IND,117,117,7,2,100.0,1,Australia,Melbourne,17-01-2016
RG Sharma,IND,124,127,11,3,97.63,1,Australia,Brisbane,15-01-2016
RG Sharma,IND,171,163,13,7,104.9,1,Australia,Perth,12-01-2016
SPD Smith,AUS,149,135,11,2,110.37,2,India,Perth,12-01-2016
GJ Bailey,AUS,112,120,7,2,93.33,2,India,Perth,12-01-2016
H Masakadza,ZIM,110,111,9,4,99.09,1,Afghanistan,Sharjah,06-01-2016
MJ Guptill,NZ,102,109,9,3,93.57,1,Sri Lanka,Mount Maunganui,05-01-2016
Mohammad Shahzad,AFG,131,133,7,8,98.49,2,Zimbabwe,Sharjah,29-12-2015
JJ Roy,ENG,102,117,8,1,87.17,1,Pakistan,Dubai (DSC),20-11-2015
JC Buttler,ENG,116,52,10,8,223.07,1,Pakistan,Dubai (DSC),20-11-2015
MS Chapman,HKG,124,116,11,2,106.89,1,U.A.E.,ICCA Dubai,16-11-2015
AD Hales,ENG,109,117,7,3,93.16,1,Pakistan,Abu Dhabi,13-11-2015
Mohammad Hafeez,PAK,102,130,10,1,78.46,2,England,Abu Dhabi,11-11-2015
MN Samuels,WI,110,95,15,1,115.78,1,Sri Lanka,Pallekele,07-11-2015
Mushfiqur Rahim,BAN,107,109,9,1,98.16,1,Zimbabwe,Mirpur,07-11-2015
Q de Kock,SA,109,87,17,1,125.28,1,India,Wankhede,25-10-2015
F du Plessis,SA,133,115,9,6,115.65,1,India,Wankhede,25-10-2015
AB de Villiers,SA,119,61,3,11,195.08,1,India,Wankhede,25-10-2015
SC Williams,ZIM,102,124,3,4,82.25,2,Afghanistan,Bulawayo,24-10-2015
AB de Villiers,SA,112,107,10,2,104.67,2,India,Chennai,22-10-2015
V Kohli,IND,138,140,6,5,98.57,1,South Africa,Chennai,22-10-2015
Q de Kock,SA,103,118,11,1,87.28,1,India,Rajkot,18-10-2015
Mohammad Nabi,AFG,116,121,3,6,95.86,1,Zimbabwe,Bulawayo,18-10-2015
CR Ervine,ZIM,101,122,9,2,82.78,2,Ireland,Harare,11-10-2015
AB de Villiers,SA,104,73,5,6,142.46,1,India,Kanpur,11-10-2015
RG Sharma,IND,150,133,13,6,112.78,2,South Africa,Kanpur,11-10-2015
JWA Taylor,ENG,101,114,5,0,88.59,1,Australia,Manchester,08-09-2015
MJ Guptill,NZ,103,134,9,3,76.86,2,South Africa,Potchefstroom,23-08-2015
HM Amla,SA,124,126,13,3,98.41,1,New Zealand,Centurion,19-08-2015
Sikandar Raza,ZIM,100,95,5,4,105.26,1,New Zealand,Harare,04-08-2015
MJ Guptill,NZ,116,138,11,1,84.05,2,Zimbabwe,Harare,04-08-2015
TWM Latham,NZ,110,116,7,2,94.82,2,Zimbabwe,Harare,04-08-2015
LRPL Taylor,NZ,112,122,6,3,91.8,1,Zimbabwe,Harare,02-08-2015
CR Ervine,ZIM,130,108,11,5,120.37,2,New Zealand,Harare,02-08-2015
MDKJ Perera,SL,116,109,9,4,106.42,1,Pakistan,Hambantota,26-07-2015
KM Jadhav,IND,105,87,12,1,120.68,1,Zimbabwe,Harare,14-07-2015
Mohammad Hafeez,PAK,103,95,10,4,108.42,2,Sri Lanka,Dambulla,11-07-2015
E Chigumbura,ZIM,104,101,8,1,102.97,2,India,Harare,10-07-2015
AT Rayudu,IND,124,133,12,1,93.23,1,Zimbabwe,Harare,10-07-2015
EJG Morgan,ENG,113,82,12,5,137.8,2,New Zealand,Nottingham,17-06-2015
JE Root,ENG,106,97,13,0,109.27,2,New Zealand,Nottingham,17-06-2015
KS Williamson,NZ,118,113,12,1,104.42,2,England,Southampton,14-06-2015
LRPL Taylor,NZ,110,123,12,0,89.43,2,England,Southampton,14-06-2015
LRPL Taylor,NZ,119,96,10,4,123.95,1,England,The Oval,12-06-2015
JE Root,ENG,104,78,13,2,133.33,1,New Zealand,Birmingham,09-06-2015
JC Buttler,ENG,129,77,13,5,167.53,1,New Zealand,Birmingham,09-06-2015
Sikandar Raza,ZIM,100,84,8,3,119.04,1,Pakistan,Lahore,29-05-2015
Azhar Ali,PAK,102,104,8,0,98.07,2,Zimbabwe,Lahore,29-05-2015
Shoaib Malik,PAK,112,76,12,2,147.36,1,Zimbabwe,Lahore,26-05-2015
E Chigumbura,ZIM,117,95,10,4,123.15,2,Pakistan,Lahore,26-05-2015
Azhar Ali,PAK,101,112,10,0,90.17,1,Bangladesh,Mirpur,22-04-2015
Soumya Sarkar,BAN,127,110,13,6,115.45,2,Pakistan,Mirpur,22-04-2015
Tamim Iqbal,BAN,116,116,17,1,100.0,2,Pakistan,Mirpur,19-04-2015
Mushfiqur Rahim,BAN,106,77,13,2,137.66,1,Pakistan,Mirpur,17-04-2015
Tamim Iqbal,BAN,132,135,15,3,97.77,1,Pakistan,Mirpur,17-04-2015
SPD Smith,AUS,105,93,11,2,112.9,1,India,Sydney,26-03-2015
MJ Guptill,NZ,237,163,24,11,145.39,1,West Indies,Wellington,21-03-2015
RG Sharma,IND,137,126,14,3,108.73,1,Bangladesh,Melbourne,19-03-2015
WTS Porterfield,IRE,107,131,11,1,81.67,1,Pakistan,Adelaide,15-03-2015
Sarfaraz Ahmed,PAK,101,124,6,0,81.45,2,Ireland,Adelaide,15-03-2015
BRM Taylor,ZIM,138,110,15,5,125.45,1,India,Auckland,14-03-2015
SK Raina,IND,110,104,9,4,105.76,2,Zimbabwe,Auckland,14-03-2015
Mahmudullah,BAN,128,123,12,3,104.06,1,New Zealand,Hamilton,13-03-2015
MJ Guptill,NZ,105,100,11,2,105.0,2,Bangladesh,Hamilton,13-03-2015
TM Dilshan,SL,104,99,10,1,105.05,1,Scotland,Hobart,11-03-2015
