Player,Country,Runs,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
V Kohli,IND,120,125,14,1,96.00,1,West Indies,Port of Spain,11 Aug 2019
MDKJ Perera,SL,111,99,17,1,112.12,1,Bangladesh,Colombo (RPS),26 Jul 2019
F du Plessis,SA,100,94,7,2,106.38,1,Australia,Manchester,6 Jul 2019
DA Warner,AUS,122,117,15,2,104.27,2,South Africa,Manchester,6 Jul 2019
AD Mathews,SL,113,128,10,2,88.28,1,India,Leeds,6 Jul 2019
KL Rahul,IND,111,118,11,1,94.06,2,Sri Lanka,Leeds,6 Jul 2019
RG Sharma,IND,103,94,14,2,109.57,2,Sri Lanka,Leeds,6 Jul 2019
Imam-ul-Haq,PAK,100,100,7,0,100.00,1,Bangladesh,Lord's,5 Jul 2019
JM Bairstow,ENG,106,99,15,1,107.07,1,New Zealand,Chester-le-Street,3 Jul 2019
RG Sharma,IND,104,92,7,5,113.04,1,Bangladesh,Birmingham,2 Jul 2019
CR Ervine,ZIM,105,117,13,0,89.74,1,Ireland,Bready,1 Jul 2019
A Balbirnie,IRE,101,112,9,2,90.17,2,Zimbabwe,Bready,1 Jul 2019
WIA Fernando,SL,104,103,9,2,100.97,1,West Indies,Chester-le-Street,1 Jul 2019
N Pooran,WI,118,103,11,4,114.56,2,Sri Lanka,Chester-le-Street,1 Jul 2019
JM Bairstow,ENG,111,109,10,6,101.83,1,India,Birmingham,30 Jun 2019
RG Sharma,IND,102,109,15,0,93.57,2,England,Birmingham,30 Jun 2019
Babar Azam,PAK,101,127,11,0,79.52,2,New Zealand,Birmingham,26 Jun 2019
AJ Finch,AUS,100,116,11,2,86.20,1,England,Lord's,25 Jun 2019
KS Williamson,NZ,148,154,14,1,96.10,1,West Indies,Manchester,22 Jun 2019
CR Brathwaite,WI,101,82,9,5,123.17,2,New Zealand,Manchester,22 Jun 2019
DA Warner,AUS,166,147,14,5,112.92,1,Bangladesh,Nottingham,20 Jun 2019
Mushfiqur Rahim,BAN,102,97,9,1,105.15,2,Australia,Nottingham,20 Jun 2019
KS Williamson,NZ,106,138,9,1,76.81,2,South Africa,Birmingham,19 Jun 2019
EJG Morgan,ENG,148,71,4,17,208.45,1,Afghanistan,Manchester,18 Jun 2019
Shakib Al Hasan,BAN,124,99,16,0,125.25,2,West Indies,Taunton,17 Jun 2019
RG Sharma,IND,140,113,14,3,123.89,1,Pakistan,Manchester,16 Jun 2019
AJ Finch,AUS,153,132,15,5,115.90,1,Sri Lanka,The Oval,15 Jun 2019
JE Root,ENG,100,94,11,0,106.38,2,West Indies,Southampton,14 Jun 2019
DA Warner,AUS,107,111,11,1,96.39,1,Pakistan,Taunton,12 Jun 2019
S Dhawan,IND,117,109,16,0,107.33,1,Australia,The Oval,9 Jun 2019
JJ Roy,ENG,153,121,14,5,126.44,1,Bangladesh,Cardiff,8 Jun 2019
Shakib Al Hasan,BAN,121,119,12,1,101.68,2,England,Cardiff,8 Jun 2019
RG Sharma,IND,122,144,13,2,84.72,2,South Africa,Southampton,5 Jun 2019
JE Root,ENG,107,104,10,1,102.88,2,Pakistan,Nottingham,3 Jun 2019
JC Buttler,ENG,103,76,9,2,135.52,2,Pakistan,Nottingham,3 Jun 2019
Mohammad Shahzad,AFG,101,88,16,0,114.77,1,Ireland,Belfast,21 May 2019
Babar Azam,PAK,115,112,13,1,102.67,1,England,Nottingham,17 May 2019
JJ Roy,ENG,114,89,11,4,128.08,2,Pakistan,Nottingham,17 May 2019
PR Stirling,IRE,130,141,8,4,92.19,1,Bangladesh,Dublin,15 May 2019
Imam-ul-Haq,PAK,151,131,16,1,115.26,1,England,Bristol,14 May 2019
JM Bairstow,ENG,128,93,15,5,137.63,2,Pakistan,Bristol,14 May 2019
JC Buttler,ENG,110,55,6,9,200.00,1,Pakistan,Southampton,11 May 2019
Fakhar Zaman,PAK,138,106,12,4,130.18,2,England,Southampton,11 May 2019
A Balbirnie,IRE,135,124,11,4,108.87,1,West Indies,Dublin (Malahide),11 May 2019
SW Ambris,WI,148,126,19,1,117.46,2,Ireland,Dublin (Malahide),11 May 2019
CS MacLeod,SCOT,100,89,10,1,112.35,1,Afghanistan,Edinburgh,10 May 2019
Rahmat Shah,AFG,113,115,11,2,98.26,2,Scotland,Edinburgh,10 May 2019
SD Hope,WI,109,132,11,1,82.57,1,Bangladesh,Dublin,7 May 2019
JD Campbell,WI,179,137,15,6,130.65,1,Ireland,Dublin,5 May 2019
SD Hope,WI,170,152,22,2,111.84,1,Ireland,Dublin,5 May 2019
SC Williams,ZIM,109,84,7,3,129.76,1,U.A.E.,Harare,14 Apr 2019
Haris Sohail,PAK,130,129,11,3,100.77,2,Australia,Dubai (DSC),31 Mar 2019
Abid Ali,PAK,112,119,9,0,94.11,2,Australia,Dubai (DSC),29 Mar 2019
Mohammad Rizwan,PAK,104,102,9,1,101.96,2,Australia,Dubai (DSC),29 Mar 2019
Mohammad Rizwan,PAK,115,126,11,0,91.26,1,Australia,Sharjah,24 Mar 2019
AJ Finch,AUS,153,143,11,6,106.99,2,Pakistan,Sharjah,24 Mar 2019
Haris Sohail,PAK,101,115,6,1,87.82,1,Australia,Sharjah,22 Mar 2019
AJ Finch,AUS,116,135,8,4,85.92,2,Pakistan,Sharjah,22 Mar 2019
UT Khawaja,AUS,100,106,10,2,94.33,1,India,Delhi,13 Mar 2019
Q de Kock,SA,121,108,16,2,112.03,1,Sri Lanka,Durban,10 Mar 2019
S Dhawan,IND,143,115,18,3,124.34,1,Australia,Mohali,10 Mar 2019
PSP Handscomb,AUS,117,105,8,3,111.42,2,India,Mohali,10 Mar 2019
UT Khawaja,AUS,104,113,11,1,92.03,1,India,Ranchi,8 Mar 2019
V Kohli,IND,123,95,16,1,129.47,2,Australia,Ranchi,8 Mar 2019
V Kohli,IND,116,120,10,0,96.66,1,Australia,Nagpur,5 Mar 2019
Najibullah Zadran,AFG,104,98,5,5,106.12,1,Ireland,Dehradun,5 Mar 2019
A Balbirnie,IRE,145,136,8,8,106.61,2,Afghanistan,Dehradun,5 Mar 2019
F du Plessis,SA,112,114,15,1,98.24,2,Sri Lanka,Johannesburg,3 Mar 2019
EJG Morgan,ENG,103,88,8,6,117.04,1,West Indies,St George's,27 Feb 2019
JC Buttler,ENG,150,77,13,12,194.80,1,West Indies,St George's,27 Feb 2019
CH Gayle,WI,162,97,11,14,167.01,2,England,St George's,27 Feb 2019
SO Hetmyer,WI,104,83,7,4,125.30,1,England,Bridgetown,22 Feb 2019
CH Gayle,WI,135,129,3,12,104.65,1,England,Bridgetown,20 Feb 2019
JJ Roy,ENG,123,85,15,3,144.70,2,West Indies,Bridgetown,20 Feb 2019
JE Root,ENG,102,97,9,0,105.15,2,West Indies,Bridgetown,20 Feb 2019
Sabbir Rahman,BAN,102,110,12,2,92.72,2,New Zealand,Dunedin,20 Feb 2019
MJ Guptill,NZ,118,88,14,4,134.09,2,Bangladesh,Christchurch,16 Feb 2019
MJ Guptill,NZ,117,116,8,4,100.86,2,Bangladesh,Napier,13 Feb 2019
P Khadka,NEP,115,109,15,1,105.50,2,U.A.E.,ICCA Dubai,28 Jan 2019
Imam-ul-Haq,PAK,101,116,8,0,87.06,1,South Africa,Centurion,25 Jan 2019
HM Amla,SA,108,120,7,1,90.00,1,Pakistan,Gqeberha,19 Jan 2019
SE Marsh,AUS,131,123,11,3,106.50,1,India,Adelaide,15 Jan 2019
V Kohli,IND,104,112,5,2,92.85,2,Australia,Adelaide,15 Jan 2019
RG Sharma,IND,133,129,10,6,103.10,2,Australia,Sydney,12 Jan 2019
LRPL Taylor,NZ,137,131,9,4,104.58,1,Sri Lanka,Nelson,8 Jan 2019
HM Nicholls,NZ,124,80,12,3,155.00,1,Sri Lanka,Nelson,8 Jan 2019
NLTC Perera,SL,140,74,8,13,189.18,2,New Zealand,Mount Maunganui,5 Jan 2019
MJ Guptill,NZ,138,139,11,5,99.28,1,Sri Lanka,Mount Maunganui,3 Jan 2019
MDKJ Perera,SL,102,86,13,1,118.60,2,New Zealand,Mount Maunganui,3 Jan 2019
SD Hope,WI,108,131,9,1,82.44,1,Bangladesh,Sylhet,14 Dec 2018
SD Hope,WI,146,144,12,3,101.38,2,Bangladesh,Mirpur,11 Dec 2018
F du Plessis,SA,125,114,15,2,109.64,1,Australia,Hobart,11 Nov 2018
DA Miller,SA,139,108,13,4,128.70,1,Australia,Hobart,11 Nov 2018
SE Marsh,AUS,106,102,7,4,103.92,2,South Africa,Hobart,11 Nov 2018
RG Sharma,IND,162,137,20,4,118.24,1,West Indies,Brabourne,29 Oct 2018
AT Rayudu,IND,100,81,8,4,123.45,1,West Indies,Brabourne,29 Oct 2018
V Kohli,IND,107,119,10,1,89.91,2,West Indies,Pune,27 Oct 2018
SC Williams,ZIM,129,143,10,1,90.20,1,Bangladesh,Chattogram,26 Oct 2018
Imrul Kayes,BAN,115,112,10,2,102.67,2,Zimbabwe,Chattogram,26 Oct 2018
Soumya Sarkar,BAN,117,92,9,6,127.17,2,Zimbabwe,Chattogram,26 Oct 2018
V Kohli,IND,157,129,13,4,121.70,1,West Indies,Visakhapatnam,24 Oct 2018
SD Hope,WI,123,134,10,3,91.79,2,India,Visakhapatnam,24 Oct 2018
Imrul Kayes,BAN,144,140,13,6,102.85,1,Zimbabwe,Mirpur,21 Oct 2018
SO Hetmyer,WI,106,78,6,6,135.89,1,India,Guwahati,21 Oct 2018
RG Sharma,IND,152,117,15,8,129.91,2,West Indies,Guwahati,21 Oct 2018
V Kohli,IND,140,107,21,2,130.84,2,West Indies,Guwahati,21 Oct 2018
Litton Das,BAN,121,117,12,2,103.41,1,India,Dubai (DSC),28 Sep 2018
Mohammad Shahzad,AFG,124,116,11,7,106.89,1,India,Dubai (DSC),25 Sep 2018
RG Sharma,IND,111,119,7,4,93.27,2,Pakistan,Dubai (DSC),23 Sep 2018
S Dhawan,IND,114,100,16,2,114.00,2,Pakistan,Dubai (DSC),23 Sep 2018
S Dhawan,IND,127,120,15,2,105.83,1,Hong Kong,Dubai (DSC),18 Sep 2018
Mushfiqur Rahim,BAN,144,150,11,4,96.00,1,Sri Lanka,Dubai (DSC),15 Sep 2018
RR Hendricks,SA,102,89,8,1,114.60,1,Sri Lanka,Pallekele,5 Aug 2018
Tamim Iqbal,BAN,103,124,7,2,83.06,1,West Indies,Basseterre,28 Jul 2018
SO Hetmyer,WI,125,93,3,7,134.40,1,Bangladesh,Providence,25 Jul 2018
Tamim Iqbal,BAN,130,160,10,3,81.25,1,West Indies,Providence,22 Jul 2018
Imam-ul-Haq,PAK,110,105,8,1,104.76,1,Zimbabwe,Bulawayo,22 Jul 2018
Babar Azam,PAK,106,76,9,2,139.47,1,Zimbabwe,Bulawayo,22 Jul 2018
Imam-ul-Haq,PAK,113,122,8,0,92.62,1,Zimbabwe,Bulawayo,20 Jul 2018
Fakhar Zaman,PAK,210,156,24,5,134.61,1,Zimbabwe,Bulawayo,20 Jul 2018
JE Root,ENG,100,120,10,0,83.33,2,India,Leeds,17 Jul 2018
Fakhar Zaman,PAK,117,129,16,0,90.69,2,Zimbabwe,Bulawayo,16 Jul 2018
JE Root,ENG,113,116,8,1,97.41,1,India,Lord's,14 Jul 2018
Imam-ul-Haq,PAK,128,134,11,0,95.52,1,Zimbabwe,Bulawayo,13 Jul 2018
RG Sharma,IND,137,114,15,4,120.17,2,England,Nottingham,12 Jul 2018
JC Buttler,ENG,110,122,12,1,90.16,2,Australia,Manchester,24 Jun 2018
AJ Finch,AUS,100,106,6,3,94.33,1,England,Chester-le-Street,21 Jun 2018
SE Marsh,AUS,101,92,5,4,109.78,1,England,Chester-le-Street,21 Jun 2018
JJ Roy,ENG,101,83,12,2,121.68,2,Australia,Chester-le-Street,21 Jun 2018
JM Bairstow,ENG,139,92,15,5,151.08,1,Australia,Nottingham,19 Jun 2018
AD Hales,ENG,147,92,16,5,159.78,1,Australia,Nottingham,19 Jun 2018
JJ Roy,ENG,120,108,12,2,111.11,1,Australia,Cardiff,16 Jun 2018
SE Marsh,AUS,131,116,10,3,112.93,2,England,Cardiff,16 Jun 2018
CS MacLeod,SCOT,140,94,16,3,148.93,1,England,Edinburgh,10 Jun 2018
JM Bairstow,ENG,105,59,12,6,177.96,2,Scotland,Edinburgh,10 Jun 2018
BRM Taylor,ZIM,138,124,20,2,111.29,1,West Indies,Harare,19 Mar 2018
A Balbirnie,IRE,105,146,10,0,71.91,1,Scotland,Harare,18 Mar 2018
MH Cross,SCOT,114,135,5,4,84.44,1,U.A.E.,Bulawayo,15 Mar 2018
PR Stirling,IRE,126,117,15,5,107.69,1,U.A.E.,Harare,12 Mar 2018
R Powell,WI,101,100,7,7,101.00,1,Ireland,Harare,10 Mar 2018
JM Bairstow,ENG,104,60,9,6,173.33,2,New Zealand,Christchurch,10 Mar 2018
JM Bairstow,ENG,138,106,14,7,130.18,1,New Zealand,Dunedin,7 Mar 2018
JE Root,ENG,102,101,6,2,100.99,1,New Zealand,Dunedin,7 Mar 2018
LRPL Taylor,NZ,181,147,17,6,123.12,2,England,Dunedin,7 Mar 2018
CH Gayle,WI,123,91,7,11,135.16,1,U.A.E.,Harare,6 Mar 2018
SO Hetmyer,WI,127,93,14,4,136.55,1,U.A.E.,Harare,6 Mar 2018
Rameez Shahzad,UAE,112,107,9,4,104.67,2,West Indies,Harare,6 Mar 2018
TP Ura,PNG,151,142,10,6,106.33,1,Ireland,Harare,6 Mar 2018
WTS Porterfield,IRE,111,133,12,0,83.45,2,P.N.G.,Harare,6 Mar 2018
CS MacLeod,SCOT,157,146,23,1,107.53,2,Afghanistan,Bulawayo,4 Mar 2018
KS Williamson,NZ,112,143,6,2,78.32,2,England,Wellington,3 Mar 2018
LRPL Taylor,NZ,113,116,12,0,97.41,2,England,Hamilton,25 Feb 2018
V Kohli,IND,129,96,19,2,134.37,2,South Africa,Centurion,16 Feb 2018
RG Sharma,IND,115,126,11,4,91.26,1,South Africa,Gqeberha,13 Feb 2018
BRM Taylor,ZIM,125,121,5,8,103.30,1,Afghanistan,Sharjah,11 Feb 2018
S Dhawan,IND,109,105,10,2,103.80,1,South Africa,Johannesburg,10 Feb 2018
Rahmat Shah,AFG,114,110,8,4,103.63,1,Zimbabwe,Sharjah,9 Feb 2018
V Kohli,IND,160,159,12,2,100.62,1,South Africa,Cape Town,7 Feb 2018
F du Plessis,SA,120,112,11,2,107.14,1,India,Durban,1 Feb 2018
V Kohli,IND,112,119,10,0,94.11,2,South Africa,Durban,1 Feb 2018
Rameez Shahzad,UAE,121,115,10,2,105.21,2,Scotland,ICCA Dubai,23 Jan 2018
MH Cross,SCOT,107,110,10,2,97.27,1,U.A.E.,ICCA Dubai,21 Jan 2018
JC Buttler,ENG,100,83,6,4,120.48,1,Australia,Sydney,21 Jan 2018
AJ Finch,AUS,106,114,9,1,92.98,1,England,Brisbane,19 Jan 2018
MJ Guptill,NZ,100,126,10,1,79.36,1,Pakistan,Wellington,19 Jan 2018
AJ Finch,AUS,107,119,10,3,89.91,1,England,Melbourne,14 Jan 2018
JJ Roy,ENG,180,151,16,5,119.20,2,Australia,Melbourne,14 Jan 2018
WTS Porterfield,IRE,139,147,15,2,94.55,1,U.A.E.,ICCA Dubai,13 Jan 2018
A Balbirnie,IRE,102,109,12,1,93.57,1,U.A.E.,ICCA Dubai,13 Jan 2018
EC Joyce,IRE,116,149,13,1,77.85,2,U.A.E.,ICCA Dubai,11 Jan 2018
KS Williamson,NZ,115,117,8,1,98.29,1,Pakistan,Wellington,6 Jan 2018
S Dhawan,IND,100,85,13,2,117.64,2,Sri Lanka,Visakhapatnam,17 Dec 2017
RG Sharma,IND,208,153,13,12,135.94,1,Sri Lanka,Mohali,13 Dec 2017
AD Mathews,SL,111,132,9,3,84.09,2,India,Mohali,13 Dec 2017
PR Stirling,IRE,101,97,11,4,104.12,2,Afghanistan,Sharjah,10 Dec 2017
Anshuman Rath,HKG,143,137,9,3,104.37,1,P.N.G.,ICCA Dubai,8 Dec 2017
RG Sharma,IND,147,138,18,2,106.52,1,New Zealand,Kanpur,29 Oct 2017
V Kohli,IND,113,106,9,1,106.60,1,New Zealand,Kanpur,29 Oct 2017
V Kohli,IND,121,125,9,2,96.80,1,New Zealand,Wankhede,22 Oct 2017
TWM Latham,NZ,103,102,8,2,100.98,2,India,Wankhede,22 Oct 2017
Imam-ul-Haq,PAK,100,125,5,2,80.00,2,Sri Lanka,Abu Dhabi,18 Oct 2017
AB de Villiers,SA,176,104,15,7,169.23,1,Bangladesh,Paarl,18 Oct 2017
Babar Azam,PAK,101,133,6,0,75.93,1,Sri Lanka,Abu Dhabi,16 Oct 2017
WU Tharanga,SL,112,144,14,0,77.77,2,Pakistan,Abu Dhabi,16 Oct 2017
Mushfiqur Rahim,BAN,110,116,11,2,94.82,1,South Africa,Kimberley,15 Oct 2017
Q de Kock,SA,168,145,21,2,115.86,2,Bangladesh,Kimberley,15 Oct 2017
HM Amla,SA,110,112,8,0,98.21,2,Bangladesh,Kimberley,15 Oct 2017
Babar Azam,PAK,103,131,5,0,78.62,1,Sri Lanka,Dubai (DSC),13 Oct 2017
CS MacLeod,SCOT,154,163,15,3,94.47,1,P.N.G.,Port Moresby,6 Oct 2017
RG Sharma,IND,125,109,11,5,114.67,2,Australia,Nagpur,1 Oct 2017
JM Bairstow,ENG,141,114,17,0,123.68,2,West Indies,Southampton,29 Sep 2017
DA Warner,AUS,124,119,12,4,104.20,1,India,Bengaluru,28 Sep 2017
E Lewis,WI,176,130,17,7,135.38,1,England,The Oval,27 Sep 2017
MM Ali,ENG,102,57,7,8,178.94,1,West Indies,Bristol,24 Sep 2017
AJ Finch,AUS,124,125,12,5,99.20,1,India,Indore,24 Sep 2017
JM Bairstow,ENG,100,97,11,0,103.09,2,West Indies,Manchester,19 Sep 2017
V Kohli,IND,110,116,9,0,94.82,2,Sri Lanka,Colombo (RPS),3 Sep 2017
RG Sharma,IND,104,88,11,3,118.18,1,Sri Lanka,Colombo (RPS),31 Aug 2017
V Kohli,IND,131,96,17,2,136.45,1,Sri Lanka,Colombo (RPS),31 Aug 2017
RG Sharma,IND,124,145,16,2,85.51,2,Sri Lanka,Pallekele,27 Aug 2017
S Dhawan,IND,132,90,20,3,146.66,2,Sri Lanka,Dambulla,20 Aug 2017
N Dickwella,SL,116,118,8,0,98.30,1,Zimbabwe,Hambantota,8 Jul 2017
V Kohli,IND,111,115,12,2,96.52,2,West Indies,Kingston,6 Jul 2017
H Masakadza,ZIM,111,98,15,1,113.26,1,Sri Lanka,Hambantota,6 Jul 2017
N Dickwella,SL,102,116,14,0,87.93,2,Zimbabwe,Hambantota,6 Jul 2017
MD Gunathilaka,SL,116,111,15,1,104.50,2,Zimbabwe,Hambantota,6 Jul 2017
SF Mire,ZIM,112,96,14,0,116.66,2,Sri Lanka,Galle,30 Jun 2017
AM Rahane,IND,103,104,10,2,99.03,1,West Indies,Port of Spain,25 Jun 2017
Fakhar Zaman,PAK,114,106,12,3,107.54,1,India,The Oval,18 Jun 2017
KJ Coetzer,SCOT,109,101,13,2,107.92,1,Zimbabwe,Edinburgh,15 Jun 2017
RG Sharma,IND,123,129,15,1,95.34,2,Bangladesh,Birmingham,15 Jun 2017
BA Stokes,ENG,102,109,13,2,93.57,2,Australia,Birmingham,10 Jun 2017
Shakib Al Hasan,BAN,114,115,11,1,99.13,2,New Zealand,Cardiff,9 Jun 2017
Mahmudullah,BAN,102,107,8,2,95.32,2,New Zealand,Cardiff,9 Jun 2017
S Dhawan,IND,125,128,15,1,97.65,1,Sri Lanka,The Oval,8 Jun 2017
HM Amla,SA,103,115,5,2,89.56,1,Sri Lanka,The Oval,3 Jun 2017
KS Williamson,NZ,100,97,8,3,103.09,1,Australia,Birmingham,2 Jun 2017
Tamim Iqbal,BAN,128,142,12,3,90.14,1,England,The Oval,1 Jun 2017
JE Root,ENG,133,129,11,1,103.10,2,Bangladesh,The Oval,1 Jun 2017
BA Stokes,ENG,101,79,11,3,127.84,1,South Africa,Southampton,27 May 2017
EJG Morgan,ENG,107,93,7,5,115.05,1,South Africa,Leeds,24 May 2017
TWM Latham,NZ,104,111,9,4,93.69,1,Ireland,Dublin (Malahide),21 May 2017
NJ O'Brien,IRE,109,131,9,5,83.20,2,New Zealand,Dublin (Malahide),14 May 2017
Shoaib Malik,PAK,101,111,10,2,90.99,2,West Indies,Providence,11 Apr 2017
Babar Azam,PAK,125,132,7,3,94.69,1,West Indies,Providence,9 Apr 2017
Rohan Mustafa,UAE,109,125,7,1,87.20,1,P.N.G.,Abu Dhabi,4 Apr 2017
BKG Mendis,SL,102,107,9,1,95.32,1,Bangladesh,Dambulla,28 Mar 2017
Tamim Iqbal,BAN,127,142,15,1,89.43,1,Sri Lanka,Dambulla,25 Mar 2017
Rahmat Shah,AFG,108,128,10,1,84.37,2,Ireland,Greater Noida,24 Mar 2017
Asghar Afghan,AFG,101,90,6,6,112.22,1,Ireland,Greater Noida,17 Mar 2017
WTS Porterfield,IRE,119,98,18,0,121.42,2,Afghanistan,Greater Noida,15 Mar 2017
AD Hales,ENG,110,107,9,5,102.80,1,West Indies,Bridgetown,9 Mar 2017
JE Root,ENG,101,108,10,0,93.51,1,West Indies,Bridgetown,9 Mar 2017
EJG Morgan,ENG,107,116,11,2,92.24,1,West Indies,North Sound,3 Mar 2017
WTS Porterfield,IRE,100,116,8,1,86.20,1,U.A.E.,ICCA Dubai,2 Mar 2017
MJ Guptill,NZ,180,138,15,11,130.43,2,South Africa,Hamilton,1 Mar 2017
LRPL Taylor,NZ,102,110,8,0,92.72,1,South Africa,Christchurch,22 Feb 2017
Q de Kock,SA,109,87,16,0,125.28,1,Sri Lanka,Centurion,10 Feb 2017
HM Amla,SA,154,134,15,5,114.92,1,Sri Lanka,Centurion,10 Feb 2017
DAS Gunaratne,SL,114,117,14,2,97.43,2,South Africa,Centurion,10 Feb 2017
F du Plessis,SA,185,141,16,3,131.20,1,Sri Lanka,Cape Town,7 Feb 2017
WU Tharanga,SL,119,90,11,7,132.22,2,South Africa,Cape Town,7 Feb 2017
LRPL Taylor,NZ,107,101,13,0,105.94,1,Australia,Hamilton,5 Feb 2017
F du Plessis,SA,105,120,7,1,87.50,1,Sri Lanka,Durban,1 Feb 2017
DA Miller,SA,117,98,3,6,119.38,1,Sri Lanka,Durban,1 Feb 2017
MP Stoinis,AUS,146,117,9,11,124.78,2,New Zealand,Auckland,30 Jan 2017
DA Warner,AUS,179,128,19,5,139.84,1,Pakistan,Adelaide,26 Jan 2017
TM Head,AUS,128,137,9,3,93.43,1,Pakistan,Adelaide,26 Jan 2017
Babar Azam,PAK,100,109,7,1,91.74,2,Australia,Adelaide,26 Jan 2017
DA Warner,AUS,130,119,11,2,109.24,1,Pakistan,Sydney,22 Jan 2017
Yuvraj Singh,IND,150,127,21,3,118.11,1,England,Cuttack,19 Jan 2017
MS Dhoni,IND,134,122,10,6,109.83,1,England,Cuttack,19 Jan 2017
EJG Morgan,ENG,102,81,6,5,125.92,2,India,Cuttack,19 Jan 2017
SPD Smith,AUS,108,104,11,1,103.84,2,Pakistan,Perth,19 Jan 2017
V Kohli,IND,122,105,8,5,116.19,2,England,Pune,15 Jan 2017
KM Jadhav,IND,120,76,12,4,157.89,2,England,Pune,15 Jan 2017
MS Wade,AUS,100,100,7,2,100.00,1,Pakistan,Brisbane,13 Jan 2017
NT Broom,NZ,109,107,8,3,101.86,1,Bangladesh,Nelson,29 Dec 2016
TWM Latham,NZ,137,121,7,4,113.22,1,Bangladesh,Christchurch,26 Dec 2016
DA Warner,AUS,156,128,13,4,121.87,1,New Zealand,Melbourne,9 Dec 2016
DA Warner,AUS,119,115,14,1,103.47,1,New Zealand,Canberra,6 Dec 2016
SPD Smith,AUS,164,157,14,4,104.45,1,New Zealand,Sydney,4 Dec 2016
MJ Guptill,NZ,114,102,10,6,111.76,2,Australia,Sydney,4 Dec 2016
E Lewis,WI,148,122,15,4,121.31,2,Sri Lanka,Bulawayo,23 Nov 2016
SD Hope,WI,101,120,4,4,84.16,2,Zimbabwe,Bulawayo,19 Nov 2016
V Kohli,IND,154,134,16,1,114.92,2,New Zealand,Mohali,23 Oct 2016
KS Williamson,NZ,118,128,14,1,92.18,1,India,Delhi,20 Oct 2016
RR Rossouw,SA,122,118,14,2,103.38,1,Australia,Cape Town,12 Oct 2016
DA Warner,AUS,173,136,24,0,127.20,2,South Africa,Cape Town,12 Oct 2016
BA Stokes,ENG,101,100,8,4,101.00,1,Bangladesh,Mirpur,7 Oct 2016
Imrul Kayes,BAN,112,119,11,2,94.11,2,England,Mirpur,7 Oct 2016
DA Warner,AUS,117,107,13,2,109.34,1,South Africa,Durban,5 Oct 2016
SPD Smith,AUS,108,107,9,1,100.93,1,South Africa,Durban,5 Oct 2016
DA Miller,SA,118,79,10,6,149.36,2,Australia,Durban,5 Oct 2016
Azhar Ali,PAK,101,109,8,1,92.66,1,West Indies,Abu Dhabi,5 Oct 2016
Babar Azam,PAK,117,106,8,1,110.37,1,West Indies,Abu Dhabi,5 Oct 2016
Babar Azam,PAK,123,126,9,1,97.61,1,West Indies,Sharjah,2 Oct 2016
F du Plessis,SA,111,93,13,0,119.35,1,Australia,Johannesburg,2 Oct 2016
Tamim Iqbal,BAN,118,118,11,2,100.00,1,Afghanistan,Mirpur,1 Oct 2016
Q de Kock,SA,178,113,16,11,157.52,2,Australia,Centurion,30 Sep 2016
Babar Azam,PAK,120,131,8,3,91.60,1,West Indies,Sharjah,30 Sep 2016
T Bavuma,SA,113,123,13,1,91.86,1,Ireland,Benoni,25 Sep 2016
CS MacLeod,SCOT,102,107,8,1,95.32,1,Hong Kong,Edinburgh,10 Sep 2016
DA Warner,AUS,106,126,9,0,84.12,2,Sri Lanka,Pallekele,4 Sep 2016
AD Hales,ENG,171,122,22,4,140.16,1,Pakistan,Nottingham,30 Aug 2016
LD Chandimal,SL,102,130,7,0,78.46,1,Australia,Dambulla,28 Aug 2016
Sarfaraz Ahmed,PAK,105,130,6,0,80.76,1,England,Lord's,27 Aug 2016
Sharjeel Khan,PAK,152,86,16,9,176.74,1,Ireland,Dublin (Malahide),18 Aug 2016
CS MacLeod,SCOT,103,122,6,3,84.42,2,U.A.E.,Edinburgh,16 Aug 2016
KJ Coetzer,SCOT,127,121,14,1,104.95,1,U.A.E.,Edinburgh,14 Aug 2016
PL Mommsen,SCOT,111,101,9,0,109.90,1,U.A.E.,Edinburgh,14 Aug 2016
EC Joyce,IRE,160,148,19,3,108.10,1,Afghanistan,Belfast,19 Jul 2016
EC Joyce,IRE,105,135,8,1,77.77,2,Afghanistan,Belfast,14 Jul 2016
Rahmat Shah,AFG,100,123,8,1,81.30,1,Scotland,Edinburgh,4 Jul 2016
JJ Roy,ENG,162,118,13,3,137.28,2,Sri Lanka,The Oval,29 Jun 2016
DM Bravo,WI,102,103,12,4,99.02,1,South Africa,Bridgetown,24 Jun 2016
JJ Roy,ENG,112,95,7,4,117.89,2,Sri Lanka,Birmingham,24 Jun 2016
AD Hales,ENG,133,110,10,6,120.90,2,Sri Lanka,Birmingham,24 Jun 2016
MN Samuels,WI,125,134,14,2,93.28,1,Australia,Bridgetown,21 Jun 2016
MDKJ Perera,SL,135,128,16,2,105.46,1,Ireland,Dublin (Malahide),18 Jun 2016
LD Chandimal,SL,100,107,6,0,93.45,1,Ireland,Dublin (Malahide),16 Jun 2016
HM Amla,SA,110,99,13,0,111.11,1,West Indies,Basseterre,15 Jun 2016
DA Warner,AUS,109,120,11,2,90.83,1,South Africa,Basseterre,11 Jun 2016
KL Rahul,IND,100,115,7,1,86.95,2,Zimbabwe,Harare,11 Jun 2016
AD Hales,ENG,112,128,14,0,87.50,1,South Africa,Cape Town,14 Feb 2016
