Player,Country,Runs,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
Ayaan Khan,OMA,105,92,11,2,114.13,2,Netherlands,Harare,3 Jul 2023
P Nissanka,SL,101,102,14,0,99.01,2,Zimbabwe,Bulawayo,2 Jul 2023
SC Williams,ZIM,142,103,14,3,137.86,1,Oman,Bulawayo,29 Jun 2023
KH Prajapati,OMA,103,97,12,1,106.18,2,Zimbabwe,Bulawayo,29 Jun 2023
PR Stirling,IRE,162,134,15,8,120.89,1,U.A.E.,Bulawayo,27 Jun 2023
N Pooran,WI,104,65,9,6,160.00,1,Netherlands,Harare,26 Jun 2023
AT Nidamanuru,NED,111,76,11,3,146.05,2,West Indies,Harare,26 Jun 2023
SC Williams,ZIM,174,101,21,5,172.27,1,U.S.A.,Harare,26 Jun 2023
B McMullen,SCOT,136,121,14,3,112.39,1,Oman,Bulawayo,25 Jun 2023
FDM Karunaratne,SL,103,103,8,0,100.00,1,Ireland,Bulawayo,25 Jun 2023
RD Berrington,SCOT,127,136,9,3,93.38,1,U.A.E.,Bulawayo,23 Jun 2023
SD Hope,WI,132,129,10,3,102.32,1,Nepal,Harare,22 Jun 2023
N Pooran,WI,115,94,10,4,122.34,1,Nepal,Harare,22 Jun 2023
C Campher,IRE,120,108,9,4,111.11,1,Scotland,Bulawayo,21 Jun 2023
Shayan Jahangir,USA,100,79,10,3,126.58,1,Nepal,Harare,20 Jun 2023
Sikandar Raza,ZIM,102,54,6,8,188.88,2,Netherlands,Harare,20 Jun 2023
G Singh,USA,101,109,8,2,92.66,2,West Indies,Harare,18 Jun 2023
CR Ervine,ZIM,121,128,15,1,94.53,2,Nepal,Harare,18 Jun 2023
SC Williams,ZIM,102,70,13,1,145.71,2,Nepal,Harare,18 Jun 2023
BA King,WI,112,112,12,4,100.00,2,U.A.E.,Sharjah,4 Jun 2023
HT Tector,IRE,140,113,7,10,123.89,1,Bangladesh,Chelmsford,12 May 2023
Najmul Hossain Shanto,BAN,117,93,12,3,125.80,2,Ireland,Chelmsford,12 May 2023
Babar Azam,PAK,107,117,10,0,91.45,1,New Zealand,Karachi,5 May 2023
DJ Mitchell,NZ,129,119,8,3,108.40,1,Pakistan,Rawalpindi,29 Apr 2023
Fakhar Zaman,PAK,180,144,17,6,125.00,2,New Zealand,Rawalpindi,29 Apr 2023
DJ Mitchell,NZ,113,115,11,1,98.26,1,Pakistan,Rawalpindi,27 Apr 2023
Fakhar Zaman,PAK,117,114,13,1,102.63,2,New Zealand,Rawalpindi,27 Apr 2023
Kushal Malla,NEP,108,64,9,10,168.75,1,Oman,Kirtipur,21 Apr 2023
AK Markram,SA,175,126,17,7,138.88,1,Netherlands,Johannesburg,2 Apr 2023
JAD Lawrenson,JER,114,105,11,2,108.57,1,P.N.G.,Windhoek,1 Apr 2023
AM Tribe,JER,115,143,8,2,80.41,1,P.N.G.,Windhoek,1 Apr 2023
Pargat Singh,CAN,102,96,13,2,106.25,1,U.A.E.,Windhoek,1 Apr 2023
Asif Khan,UAE,103,84,9,2,122.61,1,U.S.A.,Windhoek,30 Mar 2023
SR Mukkamalla,USA,120,114,11,0,105.26,2,U.A.E.,Windhoek,30 Mar 2023
M van Lingen,NAM,110,93,11,4,118.27,2,Jersey,Windhoek,30 Mar 2023
MG Erasmus,NAM,125,113,11,5,110.61,1,P.N.G.,Windhoek,29 Mar 2023
CJA Amini,PNG,109,75,8,8,145.33,2,Namibia,Windhoek,29 Mar 2023
H Klaasen,SA,119,61,15,5,195.08,2,West Indies,Potchefstroom,21 Mar 2023
AT Nidamanuru,NED,110,96,9,3,114.58,2,Zimbabwe,Harare,21 Mar 2023
Mushfiqur Rahim,BAN,100,60,14,2,166.66,1,Ireland,Sylhet,20 Mar 2023
SD Hope,WI,128,115,5,7,111.30,1,South Africa,East London,18 Mar 2023
T Bavuma,SA,144,118,11,7,122.03,2,West Indies,East London,18 Mar 2023
Asif Khan,UAE,101,42,4,11,240.47,1,Nepal,Kirtipur,16 Mar 2023
Muhammad Waseem,UAE,119,76,6,12,156.57,2,P.N.G.,Kirtipur,15 Mar 2023
Aasif Sheikh,NEP,110,110,12,2,100.00,1,P.N.G.,Kirtipur,9 Mar 2023
JJ Roy,ENG,132,124,18,1,106.45,1,Bangladesh,Mirpur,3 Mar 2023
DJ Malan,ENG,114,145,8,4,78.62,2,Bangladesh,Mirpur,1 Mar 2023
MA Leask,SCOT,107,85,3,9,125.88,1,Nepal,Kirtipur,17 Feb 2023
HG Munsey,SCOT,103,61,12,7,168.85,2,Namibia,Kirtipur,15 Feb 2023
M van Lingen,NAM,133,137,9,5,97.08,1,Nepal,Kirtipur,14 Feb 2023
K Bhurtel,NEP,115,113,10,4,101.76,2,Namibia,Kirtipur,14 Feb 2023
DJ Malan,ENG,118,114,7,6,103.50,1,South Africa,Kimberley,1 Feb 2023
JC Buttler,ENG,131,127,6,7,103.14,1,South Africa,Kimberley,1 Feb 2023
T Bavuma,SA,109,102,14,1,106.86,2,England,Bloemfontein,29 Jan 2023
HE van der Dussen,SA,111,117,6,1,94.87,1,England,Bloemfontein,27 Jan 2023
JJ Roy,ENG,113,91,11,4,124.17,2,South Africa,Bloemfontein,27 Jan 2023
RG Sharma,IND,101,85,9,6,118.82,1,New Zealand,Indore,24 Jan 2023
Shubman Gill,IND,112,78,13,5,143.58,1,New Zealand,Indore,24 Jan 2023
DP Conway,NZ,138,100,12,8,138.00,2,India,Indore,24 Jan 2023
Shubman Gill,IND,208,149,19,9,139.59,1,New Zealand,Hyderabad,18 Jan 2023
MG Bracewell,NZ,140,78,12,10,179.48,2,India,Hyderabad,18 Jan 2023
A Balbirnie,IRE,121,137,13,3,88.32,1,Zimbabwe,Harare,18 Jan 2023
HT Tector,IRE,101,109,8,1,92.66,1,Zimbabwe,Harare,18 Jan 2023
Shubman Gill,IND,116,97,14,2,119.58,1,Sri Lanka,Thiruvananthapuram,15 Jan 2023
V Kohli,IND,166,110,13,8,150.90,1,Sri Lanka,Thiruvananthapuram,15 Jan 2023
Fakhar Zaman,PAK,101,122,10,1,82.78,1,New Zealand,Karachi,13 Jan 2023
DP Conway,NZ,101,92,13,1,109.78,1,Pakistan,Karachi,11 Jan 2023
V Kohli,IND,113,87,12,1,129.88,1,Sri Lanka,Guwahati,10 Jan 2023
MD Shanaka,SL,108,88,12,3,122.72,2,India,Guwahati,10 Jan 2023
Ishan Kishan,IND,210,131,24,10,160.30,1,Bangladesh,Chattogram,10 Dec 2022
V Kohli,IND,113,91,11,2,124.17,1,Bangladesh,Chattogram,10 Dec 2022
M van Lingen,NAM,121,111,15,1,109.00,1,Nepal,Windhoek,7 Dec 2022
Mehidy Hasan Miraz,BAN,100,83,8,4,120.48,1,India,Mirpur,7 Dec 2022
Ibrahim Zadran,AFG,162,138,15,4,117.39,1,Sri Lanka,Pallekele,30 Nov 2022
Ibrahim Zadran,AFG,106,120,11,0,88.33,1,Sri Lanka,Pallekele,25 Nov 2022
TWM Latham,NZ,145,104,19,5,139.42,2,India,Auckland,25 Nov 2022
TM Head,AUS,152,130,16,4,116.92,1,England,Melbourne,22 Nov 2022
DA Warner,AUS,106,102,8,2,103.92,1,England,Melbourne,22 Nov 2022
DJ Malan,ENG,134,128,12,4,104.68,1,Australia,Adelaide,17 Nov 2022
SS Iyer,IND,113,111,15,0,101.80,2,South Africa,Ranchi,9 Oct 2022
M van Lingen,NAM,119,107,13,3,111.21,1,P.N.G.,Port Moresby,20 Sep 2022
SPD Smith,AUS,105,131,11,1,80.15,1,New Zealand,Cairns,11 Sep 2022
Shubman Gill,IND,130,97,15,1,134.02,1,Zimbabwe,Harare,22 Aug 2022
Sikandar Raza,ZIM,115,95,9,3,121.05,2,India,Harare,22 Aug 2022
KR Mayers,WI,105,110,12,3,95.45,1,New Zealand,Bridgetown,21 Aug 2022
CS MacLeod,SCOT,133,144,13,2,92.36,1,U.S.A.,Aberdeen,17 Aug 2022
Fakhar Zaman,PAK,109,109,12,1,100.00,1,Netherlands,Rotterdam,16 Aug 2022
Aaron Jones,USA,123,87,9,6,141.37,1,Scotland,Aberdeen,13 Aug 2022
CS MacLeod,SCOT,117,91,9,5,128.57,2,U.S.A.,Aberdeen,13 Aug 2022
Sikandar Raza,ZIM,117,127,8,4,92.12,2,Bangladesh,Harare,7 Aug 2022
RW Chakabva,ZIM,102,75,10,2,136.00,2,Bangladesh,Harare,7 Aug 2022
I Kaia,ZIM,110,122,11,2,90.16,2,Bangladesh,Harare,5 Aug 2022
Sikandar Raza,ZIM,135,109,8,6,123.85,2,Bangladesh,Harare,5 Aug 2022
MS Chapman,NZ,101,75,6,7,134.66,2,Scotland,Edinburgh,31 Jul 2022
SD Hope,WI,115,135,8,3,85.18,1,India,Port of Spain,24 Jul 2022
HE van der Dussen,SA,134,117,10,0,114.52,1,England,Chester-le-Street,19 Jul 2022
RR Pant,IND,125,113,16,2,110.61,2,England,Manchester,17 Jul 2022
MJ Guptill,NZ,115,126,15,2,91.26,1,Ireland,Dublin (Malahide),15 Jul 2022
PR Stirling,IRE,120,103,14,5,116.50,2,New Zealand,Dublin (Malahide),15 Jul 2022
HT Tector,IRE,108,106,7,5,101.88,2,New Zealand,Dublin (Malahide),15 Jul 2022
HT Tector,IRE,113,117,14,3,96.58,1,New Zealand,Dublin (Malahide),10 Jul 2022
MG Bracewell,NZ,127,82,10,7,154.87,2,Ireland,Dublin (Malahide),10 Jul 2022
JJ Roy,ENG,101,86,15,0,117.44,2,Netherlands,Amstelveen,22 Jun 2022
KIC Asalanka,SL,110,106,10,1,103.77,1,Australia,Colombo (RPS),21 Jun 2022
P Nissanka,SL,137,147,11,2,93.19,2,Australia,Colombo (RPS),19 Jun 2022
PD Salt,ENG,122,93,14,3,131.18,1,Netherlands,Amstelveen,17 Jun 2022
DJ Malan,ENG,125,109,9,3,114.67,1,Netherlands,Amstelveen,17 Jun 2022
JC Buttler,ENG,162,70,7,14,231.42,1,Netherlands,Amstelveen,17 Jun 2022
KH Prajapati,OMA,103,115,8,1,89.56,1,U.S.A.,Pearland,12 Jun 2022
SR Taylor,USA,114,123,11,3,92.68,2,Nepal,Pearland,11 Jun 2022
Zeeshan Maqsood,OMA,104,126,12,0,82.53,1,Nepal,Pearland,9 Jun 2022
SJ Modani,USA,111,133,9,0,83.45,1,Oman,Pearland,8 Jun 2022
MD Patel,USA,130,101,11,6,128.71,1,Oman,Pearland,8 Jun 2022
SD Hope,WI,127,134,15,1,94.77,1,Pakistan,Multan,8 Jun 2022
Babar Azam,PAK,103,107,9,0,96.26,2,West Indies,Multan,8 Jun 2022
Ibrahim Zadran,AFG,121,141,16,0,85.81,2,Zimbabwe,Harare,6 Jun 2022
V Aravind,UAE,102,108,13,0,94.44,2,U.S.A.,Pearland,4 Jun 2022
KR Mayers,WI,120,106,8,7,113.20,1,Netherlands,Amstelveen,4 Jun 2022
SSJ Brooks,WI,101,115,3,4,87.82,1,Netherlands,Amstelveen,4 Jun 2022
KJ Coetzer,SCOT,108,142,16,0,76.05,2,U.A.E.,Pearland,31 May 2022
SD Hope,WI,119,130,12,2,91.53,2,Netherlands,Amstelveen,31 May 2022
RD Berrington,SCOT,107,90,4,6,118.88,1,U.S.A.,Pearland,29 May 2022
Jatinder Singh,OMA,118,116,13,0,101.72,2,P.N.G.,Dubai (DSC),12 Apr 2022
RD Berrington,SCOT,114,127,10,2,89.76,1,P.N.G.,Dubai (DSC),9 Apr 2022
MJ Guptill,NZ,106,123,11,2,86.17,1,Netherlands,Hamilton,4 Apr 2022
WA Young,NZ,120,112,6,4,107.14,1,Netherlands,Hamilton,4 Apr 2022
Babar Azam,PAK,105,115,12,0,91.30,2,Australia,Lahore,2 Apr 2022
TWM Latham,NZ,140,123,10,5,113.82,1,Netherlands,Hamilton,2 Apr 2022
BR McDermott,AUS,104,108,10,4,96.29,1,Pakistan,Lahore,31 Mar 2022
Imam-ul-Haq,PAK,106,97,6,3,109.27,2,Australia,Lahore,31 Mar 2022
Babar Azam,PAK,114,83,11,1,137.34,2,Australia,Lahore,31 Mar 2022
TM Head,AUS,101,72,12,3,140.27,1,Pakistan,Lahore,29 Mar 2022
Imam-ul-Haq,PAK,103,96,6,3,107.29,2,Australia,Lahore,29 Mar 2022
WA Young,NZ,103,114,8,3,90.35,2,Netherlands,Mount Maunganui,29 Mar 2022
DS Airee,NEP,105,140,7,0,75.00,1,P.N.G.,Kirtipur,26 Mar 2022
RK Paudel,NEP,126,107,7,4,117.75,2,P.N.G.,Kirtipur,25 Mar 2022
Chirag Suri,UAE,103,118,10,1,87.28,1,Namibia,Sharjah,12 Mar 2022
